VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	CYLINDERS	00	71086	7117	1183	55	1897	256	0	36	81630
PASSENGER	CYLINDERS	02	1344	2239	627	506	443	151	0	159	5469
PASSENGER	CYLINDERS	03	52111	35711	4119	16719	10225	1426	1	337	120649
PASSENGER	CYLINDERS	04	4737227	4562834	809726	2520714	812739	205424	181	80482	13729327
PASSENGER	CYLINDERS	05	48825	60851	10650	27252	16789	2821	5	1746	168939
PASSENGER	CYLINDERS	06	2104183	4053307	539000	2180091	662251	194169	252	74370	9807623
PASSENGER	CYLINDERS	08	317904	2216657	328337	973554	236767	84049	161	18296	4175725
PASSENGER	CYLINDERS	10	11321	19153	2105	4832	3939	557	1	265	42173
PASSENGER	CYLINDERS	12	3578	5416	1189	362	1177	136	2	189	12049
PASSENGER	CYLINDERS	OTHER	100	593	243	72	70	29	7	7	1121
PASSENGER	MOTIVE POWER	B	2	58	6	25	8	2	0	0	101
PASSENGER	MOTIVE POWER	D	107444	107145	17566	64009	19682	4088	23	2893	322850
PASSENGER	MOTIVE POWER	E	45	212	28	14	11	12	0	0	322
PASSENGER	MOTIVE POWER	F	535382	221823	34938	28446	46424	11034	9	3218	881274
PASSENGER	MOTIVE POWER	G	6472909	10590769	1633514	5626110	1669646	471947	574	169320	26634789
PASSENGER	MOTIVE POWER	K	1	50	6	45	3	15	0	0	120
PASSENGER	MOTIVE POWER	L	148221	28715	8675	3413	6667	1409	4	379	197483
PASSENGER	MOTIVE POWER	N	10	121	8	46	4	3	0	2	194
PASSENGER	MOTIVE POWER	P	35	4598	313	1888	245	114	0	14	7207
PASSENGER	MOTIVE POWER	V	83609	10253	2094	97	3594	391	0	58	100096
PASSENGER	MOTIVE POWER	OTHER	21	134	31	64	13	3	0	3	269
PASSENGER	BODY TYPE	CV	126269	99275	20626	13004	33557	2930	29	2573	298263
PASSENGER	BODY TYPE	DB	110	356	161	6	16	8	2	6	665
PASSENGER	BODY TYPE	MH	25197	40740	4660	2451	8708	1184	39	2843	85822
PASSENGER	BODY TYPE	SW	79020	22259	7365	12536	9418	995	1	617	132211
PASSENGER	BODY TYPE	SX	351	810	176	155	141	24	0	38	1695
PASSENGER	BODY TYPE	TY	3277156	1475538	273127	295774	313861	79080	180	30656	5745372
PASSENGER	BODY TYPE	VN	464180	1093074	117349	616097	210461	53232	33	20286	2574712
PASSENGER	BODY TYPE	2B	64294	404366	49370	242532	82024	16850	12	7837	867285
PASSENGER	BODY TYPE	2D	268915	2018284	286117	1202322	254346	87961	87	19528	4137560
PASSENGER	BODY TYPE	2W	433	24674	3312	14958	2856	1431	0	45	47709
PASSENGER	BODY TYPE	4B	536979	399609	77878	219609	88729	18036	10	6265	1347115
PASSENGER	BODY TYPE	4D	2368355	4361858	670266	2712440	645650	203105	206	78778	11040658
PASSENGER	BODY TYPE	4W	136420	483007	53586	294482	70342	22699	11	6415	1066962
PASSENGER	BODY TYPE	OTHER	0	540028	133186	97791	26188	1483	0	0	798676
PASSENGER	YEAR	2023	87258	1195	150	0	102	12	0	7	88724
PASSENGER	YEAR	2022	427461	17274	2714	12	1993	306	0	62	449822
PASSENGER	YEAR	2021	411487	53339	6906	93	5825	1043	0	190	478883
PASSENGER	YEAR	2020	424837	73046	12223	219	14013	2052	0	271	526661
PASSENGER	YEAR	2019	525583	101975	18900	596	27189	3763	0	354	678360
PASSENGER	YEAR	2018	548877	112157	25710	1298	32156	5178	1	498	725875
PASSENGER	YEAR	2017	551554	122428	30040	2303	39878	5950	1	587	752741
PASSENGER	YEAR	2016	498323	113729	29074	3355	38471	5534	29	663	689178
PASSENGER	YEAR	2015	501268	117431	32061	5439	37455	6088	42	884	700668
PASSENGER	YEAR	2014	434932	107064	32440	8950	34612	5524	16	1124	624662
PASSENGER	YEAR	2013	428197	117051	38912	14502	35716	5798	21	1738	641935
PASSENGER	YEAR	2012	376900	111886	37332	20904	33393	5304	9	2169	587897
PASSENGER	YEAR	2011	326471	120728	37484	26013	31531	6110	9	2702	551048
PASSENGER	YEAR	2010	346899	144861	47577	38197	35790	7590	7	4145	625066
PASSENGER	YEAR	2009	257079	140630	45570	46694	33429	7523	11	4669	535605
PASSENGER	YEAR	2008	245703	198994	50882	67884	43057	10713	17	7017	624267
PASSENGER	YEAR	2007	210088	230730	56444	93917	42959	12201	24	8583	654946
PASSENGER	YEAR	2006	159529	230300	50608	107107	41512	12605	34	9209	610904
PASSENGER	YEAR	2005	121558	249872	50299	136045	39365	14203	44	9972	621358
PASSENGER	YEAR	2004	82692	235463	44655	130540	34039	12806	49	9659	549903
PASSENGER	YEAR	2003	70861	292368	51463	176585	44228	17198	37	12096	664836
PASSENGER	YEAR	2002	48171	304669	45910	195831	49872	18806	30	11985	675274
PASSENGER	YEAR	2001	31239	278910	41412	177574	55463	17606	36	10774	613014
PASSENGER	YEAR	2000	27562	300258	43113	203512	61970	19855	27	11363	667660
PASSENGER	YEAR	1999	19010	255891	33962	167321	54885	15519	13	9075	555676
PASSENGER	YEAR	1998	13358	265993	33964	175041	69450	13085	15	8964	579870
PASSENGER	YEAR	1997	10716	239093	31029	161429	44108	10869	25	7549	504818
PASSENGER	YEAR	1996	6380	194918	24036	129666	29400	8535	8	5543	398486
PASSENGER	YEAR	1995	7243	233399	28819	160428	33994	9969	8	5786	479646
PASSENGER	YEAR	1994	5354	211069	25310	149279	32586	9117	7	4453	437175
PASSENGER	YEAR	1993	4712	222277	25343	154292	34867	9597	1	3978	455067
PASSENGER	YEAR	1992	4779	241944	26799	163099	38338	10474	4	3706	489143
PASSENGER	YEAR	1991	5208	239089	24811	153549	36559	10013	19	2657	471905
PASSENGER	YEAR	1990	5842	256818	25503	161715	39203	10636	19	2268	502004
PASSENGER	YEAR	1989	5174	284345	25711	176518	41515	11751	5	1837	546856
PASSENGER	YEAR	1988	5514	307873	25851	182765	45714	12563	2	1693	581975
PASSENGER	YEAR	1987	6146	289394	21914	169260	41406	11268	1	868	540257
PASSENGER	YEAR	1986	5014	323509	22767	190145	44667	13464	0	717	600283
PASSENGER	YEAR	1985	4255	291698	19567	170984	40749	11745	0	562	539560
PASSENGER	YEAR	1984	3663	265984	17434	153362	38493	10499	0	558	489993
PASSENGER	YEAR	1983	2236	189581	11876	108413	26633	7320	3	272	346334
PASSENGER	YEAR	1982	1753	172588	11481	100443	23943	6425	5	209	316847
PASSENGER	YEAR	1981	3054	233178	16543	131039	30116	8301	1	335	422567
PASSENGER	YEAR	1980	3266	240246	19572	134868	30517	8440	1	285	437195
PASSENGER	YEAR	1979	4217	255968	22232	134613	28707	8488	1	407	454633
PASSENGER	YEAR	1978	3487	259441	24131	146136	26221	7852	3	314	467585
PASSENGER	YEAR	1977	2785	244475	24571	137310	21217	7416	4	284	438062
PASSENGER	YEAR	1976	2873	243692	27915	141692	18281	7663	2	297	442415
PASSENGER	YEAR	1975	2295	197846	25982	115731	13200	6754	3	221	362032
PASSENGER	YEAR	1974	2922	203332	36344	120555	11558	7452	5	184	382352
PASSENGER	YEAR	1973	3300	196867	42424	111467	8891	7659	2	234	370844
PASSENGER	YEAR	1972	3993	149476	35758	76456	5952	5584	1	198	277418
PASSENGER	YEAR	1971	3314	106260	28254	51756	3726	4082	3	132	197527
PASSENGER	YEAR	1970	4524	88068	25402	40681	3066	3313	0	155	165209
PASSENGER	YEAR	1969	5959	82448	24962	34272	2823	2844	1	179	153488
PASSENGER	YEAR	1968	4838	60186	18592	24058	2235	2018	0	162	112089
PASSENGER	YEAR	1967	4685	38435	12620	13667	1721	1313	0	132	72573
PASSENGER	YEAR	1966	4092	28844	9334	10247	1382	902	1	147	54949
PASSENGER	YEAR	1965	3325	18556	6092	6325	987	601	1	96	35983
PASSENGER	YEAR	1964	2398	11823	4073	3532	643	360	0	78	22907
PASSENGER	YEAR	1963	1515	6751	2439	1839	465	217	0	70	13296
PASSENGER	YEAR	1962	1168	4789	1872	1031	388	121	1	39	9409
PASSENGER	YEAR	1961	819	2861	1167	476	216	74	0	34	5647
PASSENGER	YEAR	1960	806	2357	1174	311	250	63	0	31	4992
PASSENGER	YEAR	1959	824	1928	1129	155	205	56	0	30	4327
PASSENGER	YEAR	1958	693	1625	900	95	190	50	0	29	3582
PASSENGER	YEAR	1957	1415	2242	1377	91	395	66	1	33	5620
PASSENGER	YEAR	1956	1249	1895	1206	77	300	68	0	32	4827
PASSENGER	YEAR	1955	1389	1907	1172	53	292	62	0	26	4901
PASSENGER	YEAR	1954	584	952	605	41	136	31	0	24	2373
PASSENGER	YEAR	1953	721	1118	745	42	126	35	0	21	2808
PASSENGER	YEAR	1952	697	977	624	34	84	24	0	27	2467
PASSENGER	YEAR	1951	723	955	656	29	108	31	0	19	2521
PASSENGER	YEAR	1950	629	861	626	19	109	24	0	16	2284
PASSENGER	YEAR	1949	469	639	474	11	67	29	0	9	1698
PASSENGER	YEAR	1948	483	653	470	15	72	20	0	17	1730
PASSENGER	YEAR	1947	467	705	609	19	71	26	0	22	1919
PASSENGER	YEAR	1946	248	380	299	6	38	19	0	7	997
PASSENGER	YEAR	1945	42	48	16	1	5	2	0	2	116
PASSENGER	YEAR	1944	33	18	22	1	1	1	0	1	77
PASSENGER	YEAR	1943	22	35	15	1	3	0	0	1	77
PASSENGER	YEAR	1942	105	140	121	4	11	6	0	3	390
PASSENGER	YEAR	1941	271	382	298	2	44	9	0	5	1011
PASSENGER	YEAR	1940	413	487	446	5	70	16	0	17	1454
PASSENGER	YEAR	1939	292	432	350	5	55	19	0	8	1161
PASSENGER	YEAR	1938	328	428	349	4	46	21	0	5	1181
PASSENGER	YEAR	1937	378	560	486	9	83	28	0	8	1552
PASSENGER	YEAR	1936	274	368	305	2	51	18	0	4	1022
PASSENGER	YEAR	1935	217	315	251	1	29	8	0	5	826
PASSENGER	YEAR	1934	386	494	370	2	66	19	0	4	1341
PASSENGER	YEAR	1933	194	311	199	0	37	12	0	3	756
PASSENGER	YEAR	1932	464	596	396	3	57	18	0	8	1542
PASSENGER	YEAR	1931	717	880	544	1	103	25	0	13	2283
PASSENGER	YEAR	1930	744	937	633	5	97	33	0	13	2462
PASSENGER	YEAR	1929	505	696	515	1	65	28	0	10	1820
PASSENGER	YEAR	1928	425	581	437	1	51	17	0	13	1525
PASSENGER	YEAR	1927	205	353	306	3	29	10	0	12	918
PASSENGER	YEAR	1926	158	240	203	2	22	4	0	4	633
PASSENGER	YEAR	1925	54	134	94	0	11	6	0	1	300
PASSENGER	YEAR	1924	55	99	81	1	6	5	0	2	249
PASSENGER	YEAR	1923	79	163	51	2	22	5	0	1	323
PASSENGER	YEAR	1922	17	55	24	0	6	1	0	0	103
PASSENGER	YEAR	1921	16	38	24	0	3	3	0	0	84
PASSENGER	YEAR	1920	12	29	20	0	2	0	0	0	63
PASSENGER	YEAR	1919	17	119	42	52	6	4	0	0	240
PASSENGER	YEAR	1918	9	38	13	1	0	1	0	0	62
PASSENGER	YEAR	1917	19	51	27	4	3	2	0	0	106
PASSENGER	YEAR	1916	6	23	10	1	1	2	0	1	44
PASSENGER	YEAR	1915	28	44	21	1	6	3	0	1	104
PASSENGER	YEAR	1914	17	39	21	0	5	1	0	0	83
PASSENGER	YEAR	1913	14	35	14	0	3	2	0	0	68
PASSENGER	YEAR	1912	17	22	9	0	1	4	0	0	53
PASSENGER	YEAR	1911	11	40	10	4	2	4	0	0	71
PASSENGER	YEAR	1910	5	15	13	1	1	1	0	0	36
PASSENGER	YEAR	1909	6	7	10	1	3	0	0	0	27
PASSENGER	YEAR	1908	1	14	2	5	2	1	0	0	25
PASSENGER	YEAR	1907	1	5	8	0	2	1	0	0	17
PASSENGER	YEAR	1906	3	5	6	2	2	2	0	0	20
PASSENGER	YEAR	1905	1	4	4	0	0	0	0	0	9
PASSENGER	YEAR	1904	3	3	2	1	0	0	0	0	9
PASSENGER	YEAR	1903	1	10	4	0	0	0	0	0	15
PASSENGER	YEAR	1902	1	4	2	0	0	1	0	0	8
PASSENGER	YEAR	1901	0	5	4	0	0	0	0	0	9
PASSENGER	YEAR	1900	1	19	0	0	2	0	0	0	22
MOTORCYCLE	MOTIVE POWER	G	226451	375883	108487	3139	44619	9483	33	6275	774370
MOTORCYCLE	MOTIVE POWER	OTHER	20	55	23	1	7	4	0	2	112
MOTORCYCLE	BODY TYPE	MB	12	304	132	2	7	8	0	1	466
MOTORCYCLE	BODY TYPE	MD	13638	13196	3973	24	1451	258	0	282	32822
MOTORCYCLE	BODY TYPE	MS	207770	352891	101725	3065	41847	9012	30	5806	722146
MOTORCYCLE	BODY TYPE	MT	2919	8696	2436	48	1053	196	3	168	15519
MOTORCYCLE	BODY TYPE	MW	2132	750	187	1	268	13	0	20	3371
MOTORCYCLE	BODY TYPE	OTHER	0	101	57	0	0	0	0	0	158
MOTORCYCLE	YEAR	2023	398	68	6	0	0	0	0	1	473
MOTORCYCLE	YEAR	2022	8921	800	93	0	32	3	0	10	9859
MOTORCYCLE	YEAR	2021	6939	1589	176	0	98	7	0	15	8824
MOTORCYCLE	YEAR	2020	6767	1798	251	0	177	11	0	35	9039
MOTORCYCLE	YEAR	2019	8237	2392	399	1	342	22	0	54	11447
MOTORCYCLE	YEAR	2018	8785	2662	516	2	406	28	0	72	12471
MOTORCYCLE	YEAR	2017	8256	2871	587	4	503	29	0	100	12350
MOTORCYCLE	YEAR	2016	8112	2771	679	7	554	31	0	95	12249
MOTORCYCLE	YEAR	2015	8314	3333	909	9	630	45	0	133	13373
MOTORCYCLE	YEAR	2014	8427	3402	865	17	743	44	0	103	13601
MOTORCYCLE	YEAR	2013	8166	3992	1036	9	793	47	0	121	14164
MOTORCYCLE	YEAR	2012	7610	3686	1008	8	797	45	1	110	13265
MOTORCYCLE	YEAR	2011	6768	3673	1100	11	753	59	2	146	12512
MOTORCYCLE	YEAR	2010	6414	3859	927	5	753	57	0	128	12143
MOTORCYCLE	YEAR	2009	11956	8093	2173	29	1361	146	1	298	24057
MOTORCYCLE	YEAR	2008	12267	9065	2525	37	1360	169	4	323	25750
MOTORCYCLE	YEAR	2007	11928	9047	2378	29	1345	120	0	298	25145
MOTORCYCLE	YEAR	2006	11003	8899	2269	45	1312	146	0	319	23993
MOTORCYCLE	YEAR	2005	9242	7900	1941	49	1186	122	0	244	20684
MOTORCYCLE	YEAR	2004	8129	6991	1774	29	1013	108	4	261	18309
MOTORCYCLE	YEAR	2003	9265	9083	2274	38	1260	154	2	302	22378
MOTORCYCLE	YEAR	2002	6747	7938	1864	36	1052	130	2	250	18019
MOTORCYCLE	YEAR	2001	6094	7603	1973	42	1229	148	2	250	17341
MOTORCYCLE	YEAR	2000	5455	7245	1999	34	1284	156	2	252	16427
MOTORCYCLE	YEAR	1999	3689	5475	1374	17	1025	103	0	178	11861
MOTORCYCLE	YEAR	1998	2561	4134	1060	16	1067	78	0	131	9047
MOTORCYCLE	YEAR	1997	1988	3639	873	9	868	59	1	98	7535
MOTORCYCLE	YEAR	1996	1502	3549	837	20	544	98	1	82	6633
MOTORCYCLE	YEAR	1995	1223	2971	692	11	507	45	0	59	5508
MOTORCYCLE	YEAR	1994	988	3086	770	14	507	75	0	59	5499
MOTORCYCLE	YEAR	1993	1025	3228	778	14	538	51	0	53	5687
MOTORCYCLE	YEAR	1992	818	2595	708	11	487	75	2	53	4749
MOTORCYCLE	YEAR	1991	804	2469	659	6	436	54	0	53	4481
MOTORCYCLE	YEAR	1990	734	3131	804	11	498	83	1	48	5310
MOTORCYCLE	YEAR	1989	697	3579	980	12	545	94	1	61	5969
MOTORCYCLE	YEAR	1988	770	4293	1197	19	611	98	0	60	7048
MOTORCYCLE	YEAR	1987	693	4712	1265	22	642	127	0	68	7529
MOTORCYCLE	YEAR	1986	1206	9006	2326	64	1125	200	0	117	14044
MOTORCYCLE	YEAR	1985	1585	13574	3202	98	1613	353	0	181	20606
MOTORCYCLE	YEAR	1984	1613	17328	4174	200	2079	447	0	231	26072
MOTORCYCLE	YEAR	1983	1349	18848	4851	257	1994	473	2	181	27955
MOTORCYCLE	YEAR	1982	1514	23769	6267	370	2198	724	0	175	35017
MOTORCYCLE	YEAR	1981	1022	17038	4537	245	1487	485	2	109	24925
MOTORCYCLE	YEAR	1980	678	12761	3350	170	1060	400	0	81	18500
MOTORCYCLE	YEAR	1979	690	13506	3824	163	930	461	0	54	19628
MOTORCYCLE	YEAR	1978	679	15620	4563	220	1030	538	0	47	22697
MOTORCYCLE	YEAR	1977	543	10961	3467	152	688	389	2	30	16232
MOTORCYCLE	YEAR	1976	453	8233	2652	97	480	306	0	21	12242
MOTORCYCLE	YEAR	1975	465	10894	3740	117	580	426	1	21	16244
MOTORCYCLE	YEAR	1974	446	9019	3247	118	390	344	0	18	13582
MOTORCYCLE	YEAR	1973	407	7403	2826	81	348	261	0	14	11340
MOTORCYCLE	YEAR	1972	371	7412	2900	65	352	287	0	22	11409
MOTORCYCLE	YEAR	1971	251	3853	1668	44	182	172	0	7	6177
MOTORCYCLE	YEAR	1970	205	2241	1156	17	133	73	0	11	3836
MOTORCYCLE	YEAR	1969	199	1748	1134	10	108	49	0	5	3253
MOTORCYCLE	YEAR	1968	161	1394	943	8	89	48	0	5	2648
MOTORCYCLE	YEAR	1967	135	1114	877	8	84	35	0	1	2254
MOTORCYCLE	YEAR	1966	112	930	774	6	57	20	0	0	1899
MOTORCYCLE	YEAR	1965	67	571	586	1	37	18	0	6	1286
MOTORCYCLE	YEAR	1964	60	287	270	0	18	6	0	4	645
MOTORCYCLE	YEAR	1963	45	195	183	0	19	2	0	2	446
MOTORCYCLE	YEAR	1962	34	161	149	0	12	5	0	0	361
MOTORCYCLE	YEAR	1961	21	142	128	1	13	4	0	1	310
MOTORCYCLE	YEAR	1960	29	153	172	1	7	6	0	3	371
MOTORCYCLE	YEAR	1959	24	145	163	0	20	4	0	0	356
MOTORCYCLE	YEAR	1958	35	138	163	0	16	4	0	1	357
MOTORCYCLE	YEAR	1957	31	170	193	1	15	6	0	3	419
MOTORCYCLE	YEAR	1956	31	182	250	0	17	8	0	1	489
MOTORCYCLE	YEAR	1955	12	114	137	0	12	3	0	1	279
MOTORCYCLE	YEAR	1954	16	90	124	0	8	2	0	0	240
MOTORCYCLE	YEAR	1953	21	103	130	0	13	3	0	0	270
MOTORCYCLE	YEAR	1952	14	119	124	2	12	5	0	0	276
MOTORCYCLE	YEAR	1951	20	90	110	1	11	4	0	0	236
MOTORCYCLE	YEAR	1950	26	107	115	0	15	4	0	0	267
MOTORCYCLE	YEAR	1949	13	81	125	0	9	4	0	0	232
MOTORCYCLE	YEAR	1948	31	128	152	0	13	5	0	0	329
MOTORCYCLE	YEAR	1947	23	121	131	0	15	2	0	0	292
MOTORCYCLE	YEAR	1946	17	78	107	0	5	8	0	0	215
MOTORCYCLE	YEAR	1945	2	9	25	0	2	0	0	0	38
MOTORCYCLE	YEAR	1944	4	7	16	0	0	1	0	0	28
MOTORCYCLE	YEAR	1943	12	46	59	0	4	1	0	0	122
MOTORCYCLE	YEAR	1942	28	138	161	0	30	6	0	1	364
MOTORCYCLE	YEAR	1941	6	29	41	0	1	4	0	0	81
MOTORCYCLE	YEAR	1940	17	65	78	0	11	4	0	0	175
MOTORCYCLE	YEAR	1939	10	40	57	0	4	2	0	0	113
MOTORCYCLE	YEAR	1938	16	26	56	0	3	1	0	0	102
MOTORCYCLE	YEAR	1937	8	27	52	0	2	1	0	0	90
MOTORCYCLE	YEAR	1936	3	11	29	0	3	3	0	0	49
MOTORCYCLE	YEAR	1935	3	12	22	0	2	0	0	0	39
MOTORCYCLE	YEAR	1934	1	4	27	0	1	0	0	0	33
MOTORCYCLE	YEAR	1933	2	4	10	0	0	1	0	0	17
MOTORCYCLE	YEAR	1932	2	1	18	0	1	0	0	0	22
MOTORCYCLE	YEAR	1931	5	7	20	0	1	0	0	0	33
MOTORCYCLE	YEAR	1930	0	9	32	0	2	1	0	0	44
MOTORCYCLE	YEAR	1929	2	10	28	0	1	0	0	0	41
MOTORCYCLE	YEAR	1928	0	4	14	0	0	0	0	0	18
MOTORCYCLE	YEAR	1927	2	1	7	0	2	0	0	0	12
MOTORCYCLE	YEAR	1926	0	5	7	0	0	0	0	0	12
MOTORCYCLE	YEAR	1925	0	2	4	0	0	0	0	0	6
MOTORCYCLE	YEAR	1924	0	3	3	0	0	0	0	0	6
MOTORCYCLE	YEAR	1923	0	1	1	0	0	0	0	0	2
MOTORCYCLE	YEAR	1922	0	2	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1920	0	2	4	0	1	0	0	0	7
MOTORCYCLE	YEAR	1919	0	0	3	0	0	0	0	0	3
MOTORCYCLE	YEAR	1918	0	1	4	0	0	1	0	0	6
MOTORCYCLE	YEAR	1917	0	1	3	0	0	0	0	0	4
MOTORCYCLE	YEAR	1916	0	0	5	0	1	0	0	0	6
MOTORCYCLE	YEAR	1915	1	1	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1914	0	0	5	0	0	0	0	0	5
MOTORCYCLE	YEAR	1913	0	2	2	0	1	0	0	0	5
MOTORCYCLE	YEAR	1912	0	2	1	0	0	0	0	0	3
MOTORCYCLE	YEAR	1911	0	0	1	0	0	0	0	0	1
MOTORCYCLE	YEAR	1909	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1908	0	2	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1905	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1904	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1903	0	2	0	0	0	0	0	0	2
MOTORCYCLE	YEAR	1900	1	11	0	0	1	0	0	0	13
MOPED	MOTIVE POWER	G	343	19419	808	83	497	560	1	14	21725
MOPED	MOTIVE POWER	OTHER	0	18	1	0	0	1	0	0	20
MOPED	YEAR	2023	2	0	0	0	0	0	0	0	2
MOPED	YEAR	2022	2	0	0	0	0	0	0	0	2
MOPED	YEAR	2021	3	0	0	0	0	0	0	0	3
MOPED	YEAR	2020	1	0	0	0	0	0	0	0	1
MOPED	YEAR	2019	0	2	0	0	1	0	0	0	3
MOPED	YEAR	2018	0	3	2	0	0	0	0	0	5
MOPED	YEAR	2017	1	0	0	0	1	0	0	0	2
MOPED	YEAR	2016	3	3	1	0	4	1	0	0	12
MOPED	YEAR	2015	1	3	0	0	1	0	0	0	5
MOPED	YEAR	2014	1	4	1	0	1	0	0	0	7
MOPED	YEAR	2013	9	13	4	0	4	0	0	1	31
MOPED	YEAR	2012	2	4	3	0	0	1	0	0	10
MOPED	YEAR	2011	0	8	0	0	1	0	0	0	9
MOPED	YEAR	2010	4	28	5	0	2	0	0	0	39
MOPED	YEAR	2009	3	38	1	0	7	0	0	1	50
MOPED	YEAR	2008	1	27	1	0	6	1	0	2	38
MOPED	YEAR	2007	2	25	5	0	4	0	0	0	36
MOPED	YEAR	2006	12	148	12	0	17	2	0	1	192
MOPED	YEAR	2005	45	540	24	0	30	8	0	0	647
MOPED	YEAR	2004	14	143	12	0	11	6	0	0	186
MOPED	YEAR	2003	6	77	3	0	9	1	0	1	97
MOPED	YEAR	2002	10	160	9	0	7	3	0	0	189
MOPED	YEAR	2001	30	599	28	0	15	16	0	2	690
MOPED	YEAR	2000	14	204	8	0	9	4	0	0	239
MOPED	YEAR	1999	1	112	9	0	12	2	0	0	136
MOPED	YEAR	1998	0	14	1	0	4	0	0	0	19
MOPED	YEAR	1997	1	19	0	0	3	0	0	0	23
MOPED	YEAR	1996	2	11	0	0	4	0	0	0	17
MOPED	YEAR	1995	2	8	0	3	0	0	0	0	13
MOPED	YEAR	1994	1	29	0	0	1	0	0	0	31
MOPED	YEAR	1993	0	19	1	0	0	2	0	0	22
MOPED	YEAR	1992	1	18	1	0	0	1	0	0	21
MOPED	YEAR	1991	0	33	2	0	1	0	0	0	36
MOPED	YEAR	1990	3	44	1	0	4	0	0	0	52
MOPED	YEAR	1989	1	46	1	0	3	1	0	0	52
MOPED	YEAR	1988	2	31	4	0	1	0	0	0	38
MOPED	YEAR	1987	1	223	6	1	1	4	0	1	237
MOPED	YEAR	1986	4	182	15	0	9	6	0	0	216
MOPED	YEAR	1985	4	282	18	1	13	2	0	1	321
MOPED	YEAR	1984	3	189	21	1	11	4	0	1	230
MOPED	YEAR	1983	6	548	27	2	22	9	0	0	614
MOPED	YEAR	1982	13	763	35	0	26	16	0	0	853
MOPED	YEAR	1981	12	918	44	10	25	30	0	0	1039
MOPED	YEAR	1980	6	759	28	2	20	15	0	0	830
MOPED	YEAR	1979	9	827	35	2	30	21	0	0	924
MOPED	YEAR	1978	10	784	28	3	21	19	0	1	866
MOPED	YEAR	1977	10	1134	39	6	16	34	0	0	1239
MOPED	YEAR	1976	5	2028	71	10	30	77	0	0	2221
MOPED	YEAR	1975	48	6101	197	34	83	209	1	2	6675
MOPED	YEAR	1974	7	713	14	4	12	22	0	0	772
MOPED	YEAR	1973	2	229	7	0	2	10	0	0	250
MOPED	YEAR	1972	3	217	10	1	5	7	0	0	243
MOPED	YEAR	1971	3	288	16	0	2	9	0	0	318
MOPED	YEAR	1970	8	335	17	2	2	12	0	0	376
MOPED	YEAR	1969	2	87	3	0	1	0	0	0	93
MOPED	YEAR	1968	0	69	5	0	0	1	0	0	75
MOPED	YEAR	1967	1	27	1	0	0	0	0	0	29
MOPED	YEAR	1966	0	76	5	0	1	4	0	0	86
MOPED	YEAR	1965	3	50	5	1	0	0	0	0	59
MOPED	YEAR	1964	0	13	5	0	1	0	0	0	19
MOPED	YEAR	1963	0	26	0	0	0	0	0	0	26
MOPED	YEAR	1962	0	15	2	0	0	0	0	0	17
MOPED	YEAR	1961	0	12	3	0	0	0	0	0	15
MOPED	YEAR	1960	0	24	2	0	0	0	0	0	26
MOPED	YEAR	1959	0	12	1	0	0	0	0	0	13
MOPED	YEAR	1958	0	11	2	0	0	0	0	0	13
MOPED	YEAR	1957	0	6	2	0	0	0	0	0	8
MOPED	YEAR	1956	0	4	0	0	0	0	0	0	4
MOPED	YEAR	1955	0	9	1	0	0	0	0	0	10
MOPED	YEAR	1954	1	3	0	0	0	0	0	0	4
MOPED	YEAR	1953	0	7	0	0	0	0	0	0	7
MOPED	YEAR	1952	0	4	0	0	0	0	0	0	4
MOPED	YEAR	1951	0	4	0	0	0	0	0	0	4
MOPED	YEAR	1950	0	4	1	0	0	0	0	0	5
MOPED	YEAR	1949	0	1	2	0	0	0	0	0	3
MOPED	YEAR	1948	0	6	0	0	0	0	0	0	6
MOPED	YEAR	1947	0	8	1	0	0	0	0	0	9
MOPED	YEAR	1946	1	5	1	0	0	0	0	0	7
MOPED	YEAR	1943	0	0	0	0	0	1	0	0	1
MOPED	YEAR	1939	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1938	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1937	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1935	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1926	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1911	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1900	1	15	0	0	1	0	0	0	17
COMMERCIAL	AXLES	1	3717	22305	3558	5023	3699	813	0	269	39384
COMMERCIAL	AXLES	2	1525143	2501748	280638	563806	314350	93186	221	49345	5328437
COMMERCIAL	AXLES	3	115015	290894	70433	14536	43512	7478	31	3010	544909
COMMERCIAL	AXLES	4	25779	9737	2711	234	1394	223	5	532	40615
COMMERCIAL	AXLES	5	390	649	66	11	79	2	0	19	1216
COMMERCIAL	AXLES	OTHER	154	615	51	26	55	9	1	7	918
COMMERCIAL	MOTIVE POWER		0	65	40	3	24	1	0	0	133
